NOMBRE,TIPO DE ENTIDAD,RELACIONADO CON,TIPO DE RELACIÓN,PUESTO
CCCGS,Asociación Civil,Rodrigo García Morales,Trabajador(a),Investigador(a)
CCCGS,Asociación Civil,Rodrigo García Morales,Trabajador(a),Investigador(a)
CCCGS,Asociación Civil,Rodrigo García Morales,Trabajador(a),Investigador(a)
CCCGS,Asociación Civil,Rodrigo García Morales,Trabajador(a),Investigador(a)
CCCGS,Asociación Civil,Rodrigo García Morales,Trabajador(a),Investigador(a)
CCCGS,Asociación Civil,Rodrigo García Morales,Trabajador(a),Investigador(a)
CCCGS,Asociación Civil,Perrer Charruau,Trabajador(a),Investigador(a)
CCCGS,Asociación Civil,Perrer Charruau,Trabajador(a),Investigador(a)
CCCGS,Asociación Civil,Perrer Charruau,Trabajador(a),Investigador(a)
CCCGS,Asociación Civil,Perrer Charruau,Trabajador(a),Investigador(a)
CCCGS,Asociación Civil,Perrer Charruau,Trabajador(a),Investigador(a)
CCCGS,Asociación Civil,NICTE HA,Proyecto,Desarrollador(a)
CCCGS,Asociación Civil,NICTE HA,Proyecto,Desarrollador(a)
CCCGS,Asociación Civil,NICTE HA,Proyecto,Desarrollador(a)
CCCGS,Asociación Civil,NICTE HA,Proyecto,Desarrollador(a)
CCCGS,Asociación Civil,NICTE HA,Proyecto,Desarrollador(a)
CCCGS,Asociación Civil,NICTE HA,Proyecto,Desarrollador(a)
CCCGS,Asociación Civil,NICTE HA,Proyecto,Desarrollador(a)
CCCGS,Asociación Civil,NICTE HA,Proyecto,Desarrollador(a)
CCCGS,Asociación Civil,NICTE HA,Proyecto,Desarrollador(a)
Grupo Arquitectos Toussaint Orendáin S.A. de C.V.,Empresa,Enrique Toussaint,Socio,Propietario
Grupo Arquitectos Toussaint Orendáin S.A. de C.V.,Empresa,Enrique Toussaint,Socio,Propietario
Grupo Arquitectos Toussaint Orendáin S.A. de C.V.,Empresa,Enrique Toussaint,Socio,Propietario
SEDENA,Dependencia de gobierno,Gobierno de México,Dependencia,Secretaría de Estado
Constructora Tlajomulco S.A. de C.V.,Empresa,Grupo Arquitectos Toussaint Orendáin S.A. de C.V.,Licitación,N/A
Constructora Tlajomulco S.A. de C.V.,Empresa,Grupo Arquitectos Toussaint Orendáin S.A. de C.V.,Licitación,N/A
Constructora Tlajomulco S.A. de C.V.,Empresa,Grupo Arquitectos Toussaint Orendáin S.A. de C.V.,Licitación,N/A
